           p         isp           t         pip        aeat
   2.0271E+00  2.6084E+03  1.9422E+03  2.0408E+01  3.6508E+00
   1.5203E+00  2.6995E+03  1.8427E+03  2.7211E+01  4.4620E+00
   1.2162E+00  2.7651E+03  1.7684E+03  3.4014E+01  5.2255E+00
   1.0135E+00  2.8155E+03  1.7095E+03  4.0816E+01  5.9532E+00
   2.0684E+01  0.0000E+00  3.1610E+03  1.0000E+00  0.0000E+00
   1.1841E+01  1.2275E+03  2.9585E+03  1.7469E+00  1.0000E+00
   1.0135E+00  2.6190E+03  2.0497E+03  2.0408E+01  3.7306E+00
   7.6014E-01  2.7123E+03  1.9486E+03  2.7211E+01  4.5650E+00
   6.0812E-01  2.7793E+03  1.8725E+03  3.4014E+01  5.3503E+00
   5.0676E-01  2.8311E+03  1.8120E+03  4.0816E+01  6.0988E+00
   2.7579E+01  0.0000E+00  3.1830E+03  1.0000E+00  0.0000E+00
   1.5770E+01  1.2313E+03  2.9736E+03  1.7488E+00  1.0000E+00
   1.3514E+00  2.6214E+03  2.0480E+03  2.0408E+01  3.7182E+00
   1.0135E+00  2.7145E+03  1.9466E+03  2.7211E+01  4.5495E+00
   8.1082E-01  2.7814E+03  1.8704E+03  3.4014E+01  5.3320E+00
   6.7568E-01  2.8331E+03  1.8098E+03  4.0816E+01  6.0779E+00
   3.4474E+01  0.0000E+00  3.1995E+03  1.0000E+00  0.0000E+00
   1.9696E+01  1.2341E+03  2.9846E+03  1.7503E+00  1.0000E+00
   1.6892E+00  2.6232E+03  2.0468E+03  2.0408E+01  3.7092E+00
   1.2669E+00  2.7161E+03  1.9452E+03  2.7211E+01  4.5383E+00
   1.0135E+00  2.7830E+03  1.8689E+03  3.4014E+01  5.3188E+00
   8.4460E-01  2.8345E+03  1.8083E+03  4.0816E+01  6.0629E+00
   4.1368E+01  0.0000E+00  3.2125E+03  1.0000E+00  0.0000E+00
   2.3619E+01  1.2363E+03  2.9932E+03  1.7515E+00  1.0000E+00
   2.0271E+00  2.6245E+03  2.0458E+03  2.0408E+01  3.7024E+00
   1.5203E+00  2.7173E+03  1.9440E+03  2.7211E+01  4.5297E+00
   1.2162E+00  2.7841E+03  1.8677E+03  3.4014E+01  5.3087E+00
   1.0135E+00  2.8356E+03  1.8070E+03  4.0816E+01  6.0514E+00
   2.0684E+01  0.0000E+00  3.2185E+03  1.0000E+00  0.0000E+00
   1.1880E+01  1.2234E+03  3.0273E+03  1.7411E+00  1.0000E+00
   1.0135E+00  2.6296E+03  2.1514E+03  2.0408E+01  3.7917E+00
   7.6014E-01  2.7245E+03  2.0496E+03  2.7211E+01  4.6462E+00
   6.0812E-01  2.7929E+03  1.9724E+03  3.4014E+01  5.4506E+00
   5.0676E-01  2.8457E+03  1.9106E+03  4.0816E+01  6.2174E+00
   2.7579E+01  0.0000E+00  3.2438E+03  1.0000E+00  0.0000E+00
   1.5823E+01  1.2275E+03  3.0458E+03  1.7430E+00  1.0000E+00
   1.3514E+00  2.6327E+03  2.1498E+03  2.0408E+01  3.7769E+00
   1.0135E+00  2.7274E+03  2.0474E+03  2.7211E+01  4.6273E+00
   8.1082E-01  2.7957E+03  1.9699E+03  3.4014E+01  5.4280E+00
   6.7568E-01  2.8483E+03  1.9079E+03  4.0816E+01  6.1913E+00
   3.4474E+01  0.0000E+00  3.2629E+03  1.0000E+00  0.0000E+00
   1.9763E+01  1.2306E+03  3.0595E+03  1.7444E+00  1.0000E+00
   1.6892E+00  2.6349E+03  2.1486E+03  2.0408E+01  3.7660E+00
   1.2669E+00  2.7295E+03  2.0458E+03  2.7211E+01  4.6135E+00
   1.0135E+00  2.7976E+03  1.9680E+03  3.4014E+01  5.4115E+00
   8.4460E-01  2.8502E+03  1.9060E+03  4.0816E+01  6.1724E+00
   4.1368E+01  0.0000E+00  3.2781E+03  1.0000E+00  0.0000E+00
   2.3699E+01  1.2331E+03  3.0703E+03  1.7456E+00  1.0000E+00
   2.0271E+00  2.6366E+03  2.1476E+03  2.0408E+01  3.7575E+00
   1.5203E+00  2.7311E+03  2.0445E+03  2.7211E+01  4.6027E+00
   1.2162E+00  2.7991E+03  1.9666E+03  3.4014E+01  5.3987E+00
   1.0135E+00  2.8516E+03  1.9045E+03  4.0816E+01  6.1577E+00
   2.0684E+01  0.0000E+00  3.2651E+03  1.0000E+00  0.0000E+00
   1.1913E+01  1.2185E+03  3.0838E+03  1.7363E+00  1.0000E+00
   1.0135E+00  2.6362E+03  2.2493E+03  2.0408E+01  3.8549E+00
   7.6014E-01  2.7328E+03  2.1483E+03  2.7211E+01  4.7316E+00
   6.0812E-01  2.8025E+03  2.0709E+03  3.4014E+01  5.5570E+00
   5.0676E-01  2.8563E+03  2.0085E+03  4.0816E+01  6.3439E+00
   2.7579E+01  0.0000E+00  3.2934E+03  1.0000E+00  0.0000E+00
   1.5868E+01  1.2228E+03  3.1057E+03  1.7380E+00  1.0000E+00
   1.3514E+00  2.6400E+03  2.2483E+03  2.0408E+01  3.8381E+00
   1.0135E+00  2.7364E+03  2.1463E+03  2.7211E+01  4.7096E+00
   8.1082E-01  2.8059E+03  2.0683E+03  3.4014E+01  5.5302E+00
   6.7568E-01  2.8596E+03  2.0055E+03  4.0816E+01  6.3128E+00
   3.4474E+01  0.0000E+00  3.3150E+03  1.0000E+00  0.0000E+00
   1.9820E+01  1.2261E+03  3.1221E+03  1.7393E+00  1.0000E+00
   1.6892E+00  2.6428E+03  2.2475E+03  2.0408E+01  3.8256E+00
   1.2669E+00  2.7390E+03  2.1446E+03  2.7211E+01  4.6933E+00
   1.0135E+00  2.8084E+03  2.0662E+03  3.4014E+01  5.5106E+00
   8.4460E-01  2.8619E+03  2.0033E+03  4.0816E+01  6.2900E+00
   4.1368E+01  0.0000E+00  3.3322E+03  1.0000E+00  0.0000E+00
   2.3770E+01  1.2288E+03  3.1351E+03  1.7404E+00  1.0000E+00
   2.0271E+00  2.6450E+03  2.2467E+03  2.0408E+01  3.8157E+00
   1.5203E+00  2.7410E+03  2.1433E+03  2.7211E+01  4.6805E+00
   1.2162E+00  2.8103E+03  2.0646E+03  3.4014E+01  5.4952E+00
   1.0135E+00  2.8638E+03  2.0016E+03  4.0816E+01  6.2722E+00
   2.0684E+01  0.0000E+00  3.3022E+03  1.0000E+00  0.0000E+00
   1.1939E+01  1.2129E+03  3.1292E+03  1.7325E+00  1.0000E+00
   1.0135E+00  2.6391E+03  2.3415E+03  2.0408E+01  3.9180E+00
   7.6014E-01  2.7372E+03  2.2432E+03  2.7211E+01  4.8187E+00
   6.0812E-01  2.8081E+03  2.1669E+03  3.4014E+01  5.6671E+00
   5.0676E-01  2.8629E+03  2.1048E+03  4.0816E+01  6.4761E+00
   2.7579E+01  0.0000E+00  3.3331E+03  1.0000E+00  0.0000E+00
   1.5905E+01  1.2174E+03  3.1542E+03  1.7340E+00  1.0000E+00
   1.3514E+00  2.6437E+03  2.3419E+03  2.0408E+01  3.9000E+00
   1.0135E+00  2.7415E+03  2.2419E+03  2.7211E+01  4.7944E+00
   8.1082E-01  2.8123E+03  2.1646E+03  3.4014E+01  5.6371E+00
   6.7568E-01  2.8669E+03  2.1019E+03  4.0816E+01  6.4407E+00
   3.4474E+01  0.0000E+00  3.3568E+03  1.0000E+00  0.0000E+00
   1.9868E+01  1.2208E+03  3.1730E+03  1.7351E+00  1.0000E+00
   1.6892E+00  2.6470E+03  2.3418E+03  2.0408E+01  3.8863E+00
   1.2669E+00  2.7447E+03  2.2406E+03  2.7211E+01  4.7762E+00
   1.0135E+00  2.8153E+03  2.1627E+03  3.4014E+01  5.6147E+00
   8.4460E-01  2.8699E+03  2.0996E+03  4.0816E+01  6.4144E+00
   4.1368E+01  0.0000E+00  3.3758E+03  1.0000E+00  0.0000E+00
   2.3828E+01  1.2236E+03  3.1881E+03  1.7361E+00  1.0000E+00
   2.0271E+00  2.6497E+03  2.3416E+03  2.0408E+01  3.8755E+00
   1.5203E+00  2.7472E+03  2.2396E+03  2.7211E+01  4.7618E+00
   1.2162E+00  2.8177E+03  2.1611E+03  3.4014E+01  5.5970E+00
   1.0135E+00  2.8722E+03  2.0977E+03  4.0816E+01  6.3937E+00
   2.0684E+01  0.0000E+00  3.3311E+03  1.0000E+00  0.0000E+00
   1.1960E+01  1.2069E+03  3.1649E+03  1.7295E+00  1.0000E+00
   1.0135E+00  2.6384E+03  2.4256E+03  2.0408E+01  3.9780E+00
   7.6014E-01  2.7379E+03  2.3321E+03  2.7211E+01  4.9041E+00
   6.0812E-01  2.8100E+03  2.2585E+03  3.4014E+01  5.7774E+00
   5.0676E-01  2.8658E+03  2.1979E+03  4.0816E+01  6.6105E+00
   2.7579E+01  0.0000E+00  3.3642E+03  1.0000E+00  0.0000E+00
   1.5934E+01  1.2115E+03  3.1924E+03  1.7308E+00  1.0000E+00
   1.3514E+00  2.6438E+03  2.4281E+03  2.0408E+01  3.9599E+00
   1.0135E+00  2.7431E+03  2.3322E+03  2.7211E+01  4.8789E+00
   8.1082E-01  2.8149E+03  2.2571E+03  3.4014E+01  5.7454E+00
   6.7568E-01  2.8706E+03  2.1956E+03  4.0816E+01  6.5721E+00
   3.4474E+01  0.0000E+00  3.3896E+03  1.0000E+00  0.0000E+00
   1.9906E+01  1.2151E+03  3.2133E+03  1.7318E+00  1.0000E+00
   1.6892E+00  2.6478E+03  2.4296E+03  2.0408E+01  3.9459E+00
   1.2669E+00  2.7469E+03  2.3320E+03  2.7211E+01  4.8596E+00
   1.0135E+00  2.8186E+03  2.2558E+03  3.4014E+01  5.7212E+00
   8.4460E-01  2.8741E+03  2.1936E+03  4.0816E+01  6.5432E+00
   4.1368E+01  0.0000E+00  3.4102E+03  1.0000E+00  0.0000E+00
   2.3876E+01  1.2179E+03  3.2302E+03  1.7327E+00  1.0000E+00
   2.0271E+00  2.6509E+03  2.4305E+03  2.0408E+01  3.9346E+00
   1.5203E+00  2.7499E+03  2.3316E+03  2.7211E+01  4.8442E+00
   1.2162E+00  2.8215E+03  2.2546E+03  3.4014E+01  5.7018E+00
   1.0135E+00  2.8769E+03  2.1919E+03  4.0816E+01  6.5201E+00
   2.0684E+01  0.0000E+00  3.3533E+03  1.0000E+00  0.0000E+00
   1.1975E+01  1.2007E+03  3.1923E+03  1.7272E+00  1.0000E+00
   1.0135E+00  2.6347E+03  2.4988E+03  2.0408E+01  4.0314E+00
   7.6014E-01  2.7353E+03  2.4118E+03  2.7211E+01  4.9831E+00
   6.0812E-01  2.8083E+03  2.3427E+03  3.4014E+01  5.8823E+00
   5.0676E-01  2.8650E+03  2.2851E+03  4.0816E+01  6.7412E+00
   2.7579E+01  0.0000E+00  3.3881E+03  1.0000E+00  0.0000E+00
   1.5957E+01  1.2054E+03  3.2219E+03  1.7284E+00  1.0000E+00
   1.3514E+00  2.6407E+03  2.5043E+03  2.0408E+01  4.0144E+00
   1.0135E+00  2.7412E+03  2.4145E+03  2.7211E+01  4.9586E+00
   8.1082E-01  2.8141E+03  2.3433E+03  3.4014E+01  5.8504E+00
   6.7568E-01  2.8706E+03  2.2843E+03  4.0816E+01  6.7019E+00
   3.4474E+01  0.0000E+00  3.4150E+03  1.0000E+00  0.0000E+00
   1.9935E+01  1.2090E+03  3.2446E+03  1.7293E+00  1.0000E+00
   1.6892E+00  2.6453E+03  2.5079E+03  2.0408E+01  4.0010E+00
   1.2669E+00  2.7456E+03  2.4159E+03  2.7211E+01  4.9396E+00
   1.0135E+00  2.8183E+03  2.3433E+03  3.4014E+01  5.8257E+00
   8.4460E-01  2.8747E+03  2.2833E+03  4.0816E+01  6.6718E+00
   4.1368E+01  0.0000E+00  3.4368E+03  1.0000E+00  0.0000E+00
   2.3912E+01  1.2119E+03  3.2629E+03  1.7300E+00  1.0000E+00
   2.0271E+00  2.6489E+03  2.5105E+03  2.0408E+01  3.9901E+00
   1.5203E+00  2.7491E+03  2.4168E+03  2.7211E+01  4.9240E+00
   1.2162E+00  2.8217E+03  2.3431E+03  3.4014E+01  5.8057E+00
   1.0135E+00  2.8780E+03  2.2823E+03  4.0816E+01  6.6476E+00
   2.0684E+01  0.0000E+00  3.3700E+03  1.0000E+00  0.0000E+00
   1.1987E+01  1.1944E+03  3.2129E+03  1.7256E+00  1.0000E+00
   1.0135E+00  2.6282E+03  2.5586E+03  2.0408E+01  4.0754E+00
   7.6014E-01  2.7297E+03  2.4793E+03  2.7211E+01  5.0509E+00
   6.0812E-01  2.8035E+03  2.4160E+03  3.4014E+01  5.9755E+00
   5.0676E-01  2.8609E+03  2.3629E+03  4.0816E+01  6.8604E+00
   2.7579E+01  0.0000E+00  3.4060E+03  1.0000E+00  0.0000E+00
   1.5973E+01  1.1991E+03  3.2441E+03  1.7266E+00  1.0000E+00
   1.3514E+00  2.6349E+03  2.5677E+03  2.0408E+01  4.0604E+00
   1.0135E+00  2.7363E+03  2.4853E+03  2.7211E+01  5.0287E+00
   8.1082E-01  2.8100E+03  2.4196E+03  3.4014E+01  5.9457E+00
   6.7568E-01  2.8672E+03  2.3647E+03  4.0816E+01  6.8230E+00
   3.4474E+01  0.0000E+00  3.4340E+03  1.0000E+00  0.0000E+00
   1.9957E+01  1.2027E+03  3.2682E+03  1.7274E+00  1.0000E+00
   1.6892E+00  2.6399E+03  2.5740E+03  2.0408E+01  4.0484E+00
   1.2669E+00  2.7412E+03  2.4893E+03  2.7211E+01  5.0111E+00
   1.0135E+00  2.8148E+03  2.4218E+03  3.4014E+01  5.9223E+00
   8.4460E-01  2.8720E+03  2.3655E+03  4.0816E+01  6.7937E+00
   4.1368E+01  0.0000E+00  3.4568E+03  1.0000E+00  0.0000E+00
   2.3939E+01  1.2057E+03  3.2877E+03  1.7280E+00  1.0000E+00
   2.0271E+00  2.6439E+03  2.5788E+03  2.0408E+01  4.0385E+00
   1.5203E+00  2.7451E+03  2.4921E+03  2.7211E+01  4.9966E+00
   1.2162E+00  2.8186E+03  2.4232E+03  3.4014E+01  5.9031E+00
   1.0135E+00  2.8757E+03  2.3659E+03  4.0816E+01  6.7698E+00
   2.0684E+01  0.0000E+00  3.3821E+03  1.0000E+00  0.0000E+00
   1.1996E+01  1.1880E+03  3.2279E+03  1.7243E+00  1.0000E+00
   1.0135E+00  2.6197E+03  2.6044E+03  2.0408E+01  4.1088E+00
   7.6014E-01  2.7216E+03  2.5324E+03  2.7211E+01  5.1041E+00
   6.0812E-01  2.7960E+03  2.4751E+03  3.4014E+01  6.0509E+00
   5.0676E-01  2.8539E+03  2.4273E+03  4.0816E+01  6.9598E+00
   2.7579E+01  0.0000E+00  3.4191E+03  1.0000E+00  0.0000E+00
   1.5986E+01  1.1927E+03  3.2604E+03  1.7252E+00  1.0000E+00
   1.3514E+00  2.6268E+03  2.6170E+03  2.0408E+01  4.0960E+00
   1.0135E+00  2.7288E+03  2.5421E+03  2.7211E+01  5.0850E+00
   8.1082E-01  2.8030E+03  2.4826E+03  3.4014E+01  6.0250E+00
   6.7568E-01  2.8609E+03  2.4327E+03  4.0816E+01  6.9267E+00
